"p, q, n, Phi, e, k, d",n,totient,e,# holes,Transparency Percentage,
"[17, 257, 4369, 4096, 257, 241, 3841]",4369,4096,257,4366,99.95,
"[17, 257, 4369, 4096, 65537, 16, 1]",4369,4096,65537,4366,99.95,
"[5, 257, 1285, 1024, 257, 193, 769]",1285,1024,257,1282,99.84,
"[5, 257, 1285, 1024, 65537, 64, 1]",1285,1024,65537,1282,99.84,
"[3, 257, 771, 512, 257, 129, 257]",771,512,257,768,99.74,
"[3, 257, 771, 512, 65537, 128, 1]",771,512,65537,768,99.74,
"[5, 17, 85, 64, 17, 13, 49]",85,64,17,82,97.62,
"[5, 17, 85, 64, 257, 4, 1]",85,64,257,82,97.62,
"[5, 17, 85, 64, 65537, 1024, 1]",85,64,65537,82,97.62,
"[3, 17, 51, 32, 17, 9, 17]",51,32,17,48,96,
"[3, 17, 51, 32, 257, 8, 1]",51,32,257,48,96,
"[3, 17, 51, 32, 65537, 2048, 1]",51,32,65537,48,96,
"[3, 5, 15, 8, 5, 3, 5]",15,8,5,12,85.71,
"[3, 5, 15, 8, 17, 2, 1]",15,8,17,12,85.71,
"[3, 5, 15, 8, 257, 32, 1]",15,8,257,12,85.71,
"[3, 5, 15, 8, 65537, 8192, 1]",15,8,65537,12,85.71,
"[3, 5, 15, 8, 3, 1, 3]",15,8,3,6,42.86,
"[7, 257, 1799, 1536, 257, 43, 257]",1799,1536,257,768,42.71,
"[7, 257, 1799, 1536, 65537, 43734, 1025]",1799,1536,65537,768,42.71,
"[7, 17, 119, 96, 17, 3, 17]",119,96,17,48,40.68,
"[7, 17, 119, 96, 257, 174, 65]",119,96,257,48,40.68,
"[7, 17, 119, 96, 65537, 44374, 65]",119,96,65537,48,40.68,
"[13, 257, 3341, 3072, 257, 150, 1793]",3341,3072,257,1282,38.38,
"[13, 257, 3341, 3072, 65537, 21867, 1025]",3341,3072,65537,1282,38.38,
"[13, 17, 221, 192, 17, 10, 113]",221,192,17,82,37.27,
"[13, 17, 221, 192, 257, 87, 65]",221,192,257,82,37.27,
"[13, 17, 221, 192, 65537, 22187, 65]",221,192,65537,82,37.27,
"[5, 7, 35, 24, 5, 1, 5]",35,24,5,12,35.29,
"[5, 7, 35, 24, 17, 12, 17]",35,24,17,12,35.29,
"[5, 7, 35, 24, 257, 182, 17]",35,24,257,12,35.29,
"[5, 7, 35, 24, 65537, 46422, 17]",35,24,65537,12,35.29,
"[5, 13, 65, 48, 5, 3, 29]",65,48,5,22,34.38,
"[5, 13, 65, 48, 17, 6, 17]",65,48,17,22,34.38,
"[5, 13, 65, 48, 257, 91, 17]",65,48,257,22,34.38,
"[5, 13, 65, 48, 65537, 23211, 17]",65,48,65537,22,34.38,
"[97, 257, 24929, 24576, 257, 83, 7937]",24929,24576,257,8478,34.01,
"[97, 257, 24929, 24576, 65537, 43694, 16385]",24929,24576,65537,8478,34.01,
"[17, 97, 1649, 1536, 257, 43, 257]",1649,1536,257,558,33.86,
"[17, 97, 1649, 1536, 65537, 43734, 1025]",1649,1536,65537,558,33.86,
"[193, 257, 49601, 49152, 257, 170, 32513]",49601,49152,257,16702,33.67,
"[193, 257, 49601, 49152, 65537, 21847, 16385]",49601,49152,65537,16702,33.67,
"[17, 193, 3281, 3072, 257, 150, 1793]",3281,3072,257,1102,33.6,
"[17, 193, 3281, 3072, 65537, 21867, 1025]",3281,3072,65537,1102,33.6,
"[5, 97, 485, 384, 257, 172, 257]",485,384,257,162,33.47,
"[5, 97, 485, 384, 65537, 43862, 257]",485,384,65537,162,33.47,
"[5, 193, 965, 768, 257, 86, 257]",965,768,257,322,33.4,
"[5, 193, 965, 768, 65537, 21931, 257]",965,768,65537,322,33.4,
"[3, 193, 579, 384, 257, 172, 257]",579,384,257,192,33.22,
"[3, 193, 579, 384, 65537, 43862, 257]",579,384,65537,192,33.22,
"[3, 97, 291, 192, 257, 87, 65]",291,192,257,96,33.1,
"[3, 97, 291, 192, 65537, 22187, 65]",291,192,65537,96,33.1,
"[3, 13, 39, 24, 5, 1, 5]",39,24,5,12,31.58,
"[3, 13, 39, 24, 17, 12, 17]",39,24,17,12,31.58,
"[3, 13, 39, 24, 257, 182, 17]",39,24,257,12,31.58,
"[3, 13, 39, 24, 65537, 46422, 17]",39,24,65537,12,31.58,
"[3, 7, 21, 12, 3, 1, 24]",21,12,3,6,30,
"[3, 7, 21, 12, 5, 2, 5]",21,12,5,6,30,
"[3, 7, 21, 12, 17, 7, 5]",21,12,17,6,30,
"[3, 7, 21, 12, 257, 107, 5]",21,12,257,6,30,
"[3, 7, 21, 12, 65537, 27307, 5]",21,12,65537,6,30,
"[11, 257, 2827, 2560, 257, 180, 1793]",2827,2560,257,768,27.18,
"[11, 257, 2827, 2560, 65537, 13133, 513]",2827,2560,65537,768,27.18,
"[5, 17, 85, 64, 5, 1, 13]",85,64,5,22,26.19,
"[11, 17, 187, 160, 17, 12, 113]",187,160,17,48,25.81,
"[11, 17, 187, 160, 257, 53, 33]",187,160,257,48,25.81,
"[11, 17, 187, 160, 65537, 13517, 33]",187,160,65537,48,25.81,
"[3, 17, 51, 32, 5, 2, 13]",51,32,5,12,24,
"[5, 11, 55, 40, 5, 1, 56]",55,40,5,12,22.22,
"[5, 11, 55, 40, 17, 14, 33]",55,40,17,12,22.22,
"[5, 11, 55, 40, 257, 212, 33]",55,40,257,12,22.22,
"[5, 11, 55, 40, 65537, 54068, 33]",55,40,65537,12,22.22,
"[41, 257, 10537, 10240, 257, 45, 1793]",10537,10240,257,2310,21.92,
"[41, 257, 10537, 10240, 65537, 52436, 8193]",10537,10240,65537,2310,21.92,
"[17, 41, 697, 640, 17, 3, 113]",697,640,17,150,21.55,
"[17, 41, 697, 640, 257, 206, 513]",697,640,257,150,21.55,
"[17, 41, 697, 640, 65537, 52532, 513]",697,640,65537,150,21.55,
"[5, 41, 205, 160, 17, 12, 113]",205,160,17,42,20.59,
"[5, 41, 205, 160, 257, 53, 33]",205,160,257,42,20.59,
"[5, 41, 205, 160, 65537, 13517, 33]",205,160,65537,42,20.59,
"[3, 41, 123, 80, 17, 7, 33]",123,80,17,24,19.67,
"[3, 41, 123, 80, 257, 106, 33]",123,80,257,24,19.67,
"[3, 41, 123, 80, 65537, 27034, 33]",123,80,65537,24,19.67,
"[3, 11, 33, 20, 3, 1, 7]",33,20,3,6,18.75,
"[3, 11, 33, 20, 5, 1, 36]",33,20,5,6,18.75,
"[3, 11, 33, 20, 17, 11, 13]",33,20,17,6,18.75,
"[3, 11, 33, 20, 257, 167, 13]",33,20,257,6,18.75,
"[3, 11, 33, 20, 65537, 42599, 13]",33,20,65537,6,18.75,
"[5, 7, 35, 24, 3, 1, 40]",35,24,3,6,17.65,
"[17, 97, 1649, 1536, 17, 14, 1265]",1649,1536,17,286,17.35,
"[29, 257, 7453, 7168, 257, 101, 2817]",7453,7168,257,1282,17.2,
"[29, 257, 7453, 7168, 65537, 18734, 2049]",7453,7168,65537,1282,17.2,
"[5, 97, 485, 384, 17, 5, 113]",485,384,17,82,16.94,
"[17, 29, 493, 448, 17, 14, 369]",493,448,17,82,16.67,
"[17, 29, 493, 448, 257, 74, 129]",493,448,257,82,16.67,
"[17, 29, 493, 448, 65537, 37596, 257]",493,448,65537,82,16.67,
"[3, 97, 291, 192, 17, 10, 113]",291,192,17,48,16.55,
"[3, 13, 39, 24, 3, 1, 40]",39,24,3,6,15.79,
"[19, 257, 4883, 4608, 257, 100, 1793]",4883,4608,257,768,15.73,
"[19, 257, 4883, 4608, 65537, 14578, 1025]",4883,4608,65537,768,15.73,
"[5, 29, 145, 112, 5, 2, 45]",145,112,5,22,15.28,
"[5, 29, 145, 112, 17, 5, 33]",145,112,17,22,15.28,
"[5, 29, 145, 112, 257, 39, 17]",145,112,257,22,15.28,
"[5, 29, 145, 112, 65537, 19310, 33]",145,112,65537,22,15.28,
"[113, 257, 29041, 28672, 257, 218, 24321]",29041,28672,257,4366,15.03,
"[113, 257, 29041, 28672, 65537, 37452, 16385]",29041,28672,65537,4366,15.03,
"[17, 19, 323, 288, 17, 1, 17]",323,288,17,48,14.91,
"[17, 19, 323, 288, 257, 58, 65]",323,288,257,48,14.91,
"[17, 19, 323, 288, 65537, 36637, 161]",323,288,65537,48,14.91,
"[17, 113, 1921, 1792, 17, 12, 1265]",1921,1792,17,286,14.9,
"[17, 113, 1921, 1792, 257, 147, 1025]",1921,1792,257,286,14.9,
"[17, 113, 1921, 1792, 65537, 9399, 257]",1921,1792,65537,286,14.9,
"[5, 113, 565, 448, 17, 14, 369]",565,448,17,82,14.54,
"[5, 113, 565, 448, 257, 74, 129]",565,448,257,82,14.54,
"[5, 113, 565, 448, 65537, 37596, 257]",565,448,65537,82,14.54,
"[257, 449, 115393, 114688, 257, 183, 81665]",115393,114688,257,16702,14.47,
"[257, 449, 115393, 114688, 65537, 9363, 16385]",115393,114688,65537,16702,14.47,
"[17, 449, 7633, 7168, 257, 101, 2817]",7633,7168,257,1102,14.44,
"[17, 449, 7633, 7168, 65537, 18734, 2049]",7633,7168,65537,1102,14.44,
"[5, 449, 2245, 1792, 257, 147, 1025]",2245,1792,257,322,14.35,
"[5, 449, 2245, 1792, 65537, 9399, 257]",2245,1792,65537,322,14.35,
"[3, 449, 1347, 896, 257, 37, 129]",1347,896,257,192,14.26,
"[3, 449, 1347, 896, 65537, 18798, 257]",1347,896,65537,192,14.26,
"[7, 193, 1351, 1152, 257, 143, 641]",1351,1152,257,192,14.22,
"[7, 193, 1351, 1152, 65537, 58312, 1025]",1351,1152,65537,192,14.22,
"[3, 113, 339, 224, 17, 11, 145]",339,224,17,48,14.2,
"[3, 113, 339, 224, 257, 148, 129]",339,224,257,48,14.2,
"[3, 113, 339, 224, 65537, 9655, 33]",339,224,65537,48,14.2,
"[7, 97, 679, 576, 257, 29, 65]",679,576,257,96,14.16,
"[7, 97, 679, 576, 65537, 51087, 449]",679,576,65537,96,14.16,
"[3, 29, 87, 56, 5, 4, 45]",87,56,5,12,13.95,
"[3, 29, 87, 56, 17, 10, 33]",87,56,17,12,13.95,
"[3, 29, 87, 56, 257, 78, 17]",87,56,257,12,13.95,
"[3, 29, 87, 56, 65537, 38620, 33]",87,56,65537,12,13.95,
"[37, 257, 9509, 9216, 257, 50, 1793]",9509,9216,257,1282,13.48,
"[37, 257, 9509, 9216, 65537, 7289, 1025]",9509,9216,65537,1282,13.48,
"[7, 13, 91, 72, 5, 2, 29]",91,72,5,12,13.33,
"[7, 13, 91, 72, 17, 4, 17]",91,72,17,12,13.33,
"[7, 13, 91, 72, 257, 232, 65]",91,72,257,12,13.33,
"[7, 13, 91, 72, 65537, 15474, 17]",91,72,65537,12,13.33,
"[17, 37, 629, 576, 17, 9, 305]",629,576,17,82,13.06,
"[17, 37, 629, 576, 257, 29, 65]",629,576,257,82,13.06,
"[17, 37, 629, 576, 65537, 51087, 449]",629,576,65537,82,13.06,
"[23, 257, 5911, 5632, 257, 222, 4865]",5911,5632,257,768,12.99,
"[23, 257, 5911, 5632, 65537, 41717, 3585]",5911,5632,65537,768,12.99,
"[13, 97, 1261, 1152, 257, 143, 641]",1261,1152,257,162,12.86,
"[13, 97, 1261, 1152, 65537, 58312, 1025]",1261,1152,65537,162,12.86,
"[13, 193, 2509, 2304, 257, 200, 1793]",2509,2304,257,322,12.84,
"[13, 193, 2509, 2304, 65537, 29156, 1025]",2509,2304,65537,322,12.84,
"[5, 19, 95, 72, 5, 2, 29]",95,72,5,12,12.77,
"[5, 19, 95, 72, 17, 4, 17]",95,72,17,12,12.77,
"[5, 19, 95, 72, 257, 232, 65]",95,72,257,12,12.77,
"[5, 19, 95, 72, 65537, 15474, 17]",95,72,65537,12,12.77,
"[17, 23, 391, 352, 17, 7, 145]",391,352,17,48,12.31,
"[17, 23, 391, 352, 257, 211, 289]",391,352,257,48,12.31,
"[17, 23, 391, 352, 65537, 12102, 65]",391,352,65537,48,12.31,
"[73, 257, 18761, 18432, 257, 25, 1793]",18761,18432,257,2310,12.31,
"[73, 257, 18761, 18432, 65537, 36413, 10241]",18761,18432,65537,2310,12.31,
"[17, 73, 1241, 1152, 17, 13, 881]",1241,1152,17,150,12.1,
"[17, 73, 1241, 1152, 257, 143, 641]",1241,1152,257,150,12.1,
"[17, 73, 1241, 1152, 65537, 58312, 1025]",1241,1152,65537,150,12.1,
"[3, 17, 51, 32, 3, 1, 11]",51,32,3,6,12,
"[5, 37, 185, 144, 5, 1, 29]",185,144,5,22,11.96,
"[5, 37, 185, 144, 17, 2, 17]",185,144,17,22,11.96,
"[5, 37, 185, 144, 257, 116, 65]",185,144,257,22,11.96,
"[5, 37, 185, 144, 65537, 7737, 17]",185,144,65537,22,11.96,
