"p, q, n, Phi, e, k, d",Totient,Binary Totient,# Hot Bits,Transparency Percentage
"[17, 257, 4369, 4096, 257, 241, 3841]",4096,0b1000000000000,1,99.95
"[17, 257, 4369, 4096, 65537, 16, 1]",4096,0b1000000000000,1,99.95
"[5, 257, 1285, 1024, 257, 193, 769]",1024,0b10000000000,1,99.84
"[5, 257, 1285, 1024, 65537, 64, 1]",1024,0b10000000000,1,99.84
"[3, 257, 771, 512, 257, 129, 257]",512,0b1000000000,1,99.74
"[3, 257, 771, 512, 65537, 128, 1]",512,0b1000000000,1,99.74
"[5, 17, 85, 64, 17, 13, 49]",64,0b1000000,1,97.62
"[5, 17, 85, 64, 257, 4, 1]",64,0b1000000,1,97.62
"[5, 17, 85, 64, 65537, 1024, 1]",64,0b1000000,1,97.62
"[3, 17, 51, 32, 17, 9, 17]",32,0b100000,1,96
"[3, 17, 51, 32, 257, 8, 1]",32,0b100000,1,96
"[3, 17, 51, 32, 65537, 2048, 1]",32,0b100000,1,96
"[3, 5, 15, 8, 5, 3, 5]",8,0b1000,1,85.71
"[3, 5, 15, 8, 17, 2, 1]",8,0b1000,1,85.71
"[3, 5, 15, 8, 257, 32, 1]",8,0b1000,1,85.71
"[3, 5, 15, 8, 65537, 8192, 1]",8,0b1000,1,85.71
"[3, 5, 15, 8, 3, 1, 3]",8,0b1000,1,42.86
"[5, 17, 85, 64, 5, 1, 13]",64,0b1000000,1,26.19
"[3, 17, 51, 32, 5, 2, 13]",32,0b100000,1,24
"[3, 17, 51, 32, 3, 1, 11]",32,0b100000,1,12
"[5, 17, 85, 64, 3, 2, 43]",64,0b1000000,1,7.14
"[17, 257, 4369, 4096, 17, 1, 241]",4096,0b1000000000000,1,6.55
"[5, 257, 1285, 1024, 17, 4, 241]",1024,0b10000000000,1,6.39
"[3, 257, 771, 512, 17, 8, 241]",512,0b1000000000,1,6.23
"[5, 257, 1285, 1024, 5, 1, 205]",1024,0b10000000000,1,1.71
"[3, 257, 771, 512, 5, 2, 205]",512,0b1000000000,1,1.56
"[3, 257, 771, 512, 3, 1, 171]",512,0b1000000000,1,0.78
"[17, 257, 4369, 4096, 5, 4, 3277]",4096,0b1000000000000,1,0.5
"[5, 257, 1285, 1024, 3, 2, 683]",1024,0b10000000000,1,0.47
"[17, 257, 4369, 4096, 3, 2, 2731]",4096,0b1000000000000,1,0.14
"[7, 257, 1799, 1536, 257, 43, 257]",1536,0b11000000000,2,42.71
"[7, 257, 1799, 1536, 65537, 43734, 1025]",1536,0b11000000000,2,42.71
"[7, 17, 119, 96, 17, 3, 17]",96,0b1100000,2,40.68
"[7, 17, 119, 96, 257, 174, 65]",96,0b1100000,2,40.68
"[7, 17, 119, 96, 65537, 44374, 65]",96,0b1100000,2,40.68
"[13, 257, 3341, 3072, 257, 150, 1793]",3072,0b110000000000,2,38.38
"[13, 257, 3341, 3072, 65537, 21867, 1025]",3072,0b110000000000,2,38.38
"[13, 17, 221, 192, 17, 10, 113]",192,0b11000000,2,37.27
"[13, 17, 221, 192, 257, 87, 65]",192,0b11000000,2,37.27
"[13, 17, 221, 192, 65537, 22187, 65]",192,0b11000000,2,37.27
"[5, 7, 35, 24, 5, 1, 5]",24,0b11000,2,35.29
"[5, 7, 35, 24, 17, 12, 17]",24,0b11000,2,35.29
"[5, 7, 35, 24, 257, 182, 17]",24,0b11000,2,35.29
"[5, 7, 35, 24, 65537, 46422, 17]",24,0b11000,2,35.29
"[5, 13, 65, 48, 5, 3, 29]",48,0b110000,2,34.38
"[5, 13, 65, 48, 17, 6, 17]",48,0b110000,2,34.38
"[5, 13, 65, 48, 257, 91, 17]",48,0b110000,2,34.38
"[5, 13, 65, 48, 65537, 23211, 17]",48,0b110000,2,34.38
"[97, 257, 24929, 24576, 257, 83, 7937]",24576,0b110000000000000,2,34.01
"[97, 257, 24929, 24576, 65537, 43694, 16385]",24576,0b110000000000000,2,34.01
"[17, 97, 1649, 1536, 257, 43, 257]",1536,0b11000000000,2,33.86
"[17, 97, 1649, 1536, 65537, 43734, 1025]",1536,0b11000000000,2,33.86
"[193, 257, 49601, 49152, 257, 170, 32513]",49152,0b1100000000000000,2,33.67
"[193, 257, 49601, 49152, 65537, 21847, 16385]",49152,0b1100000000000000,2,33.67
"[17, 193, 3281, 3072, 257, 150, 1793]",3072,0b110000000000,2,33.6
"[17, 193, 3281, 3072, 65537, 21867, 1025]",3072,0b110000000000,2,33.6
"[5, 97, 485, 384, 257, 172, 257]",384,0b110000000,2,33.47
"[5, 97, 485, 384, 65537, 43862, 257]",384,0b110000000,2,33.47
"[5, 193, 965, 768, 257, 86, 257]",768,0b1100000000,2,33.4
"[5, 193, 965, 768, 65537, 21931, 257]",768,0b1100000000,2,33.4
"[3, 193, 579, 384, 257, 172, 257]",384,0b110000000,2,33.22
"[3, 193, 579, 384, 65537, 43862, 257]",384,0b110000000,2,33.22
"[3, 97, 291, 192, 257, 87, 65]",192,0b11000000,2,33.1
"[3, 97, 291, 192, 65537, 22187, 65]",192,0b11000000,2,33.1
"[3, 13, 39, 24, 5, 1, 5]",24,0b11000,2,31.58
"[3, 13, 39, 24, 17, 12, 17]",24,0b11000,2,31.58
"[3, 13, 39, 24, 257, 182, 17]",24,0b11000,2,31.58
"[3, 13, 39, 24, 65537, 46422, 17]",24,0b11000,2,31.58
"[3, 7, 21, 12, 3, 1, 24]",12,0b1100,2,30
"[3, 7, 21, 12, 5, 2, 5]",12,0b1100,2,30
"[3, 7, 21, 12, 17, 7, 5]",12,0b1100,2,30
"[3, 7, 21, 12, 257, 107, 5]",12,0b1100,2,30
"[3, 7, 21, 12, 65537, 27307, 5]",12,0b1100,2,30
"[11, 257, 2827, 2560, 257, 180, 1793]",2560,0b101000000000,2,27.18
"[11, 257, 2827, 2560, 65537, 13133, 513]",2560,0b101000000000,2,27.18
"[11, 17, 187, 160, 17, 12, 113]",160,0b10100000,2,25.81
"[11, 17, 187, 160, 257, 53, 33]",160,0b10100000,2,25.81
"[11, 17, 187, 160, 65537, 13517, 33]",160,0b10100000,2,25.81
"[5, 11, 55, 40, 5, 1, 56]",40,0b101000,2,22.22
"[5, 11, 55, 40, 17, 14, 33]",40,0b101000,2,22.22
"[5, 11, 55, 40, 257, 212, 33]",40,0b101000,2,22.22
"[5, 11, 55, 40, 65537, 54068, 33]",40,0b101000,2,22.22
