"p, q, n, Phi, e, k, d",N,Totient,E,Transparency Percentage,,,,,,,,
"[17, 257, 4369, 4096, 257, 241, 3841]",4369,4096,257,99.95,,,,,,,,
"[17, 257, 4369, 4096, 769, 625, 3329]",4369,4096,769,99.95,,,,,,,,
"[17, 257, 4369, 4096, 3329, 625, 769]",4369,4096,3329,99.95,,,,,,,,
"[17, 257, 4369, 4096, 7681, 962, 513]",4369,4096,7681,99.95,,,,,,,,
"[17, 257, 4369, 4096, 7937, 498, 257]",4369,4096,7937,99.95,,,,,,,,
"[17, 257, 4369, 4096, 9473, 6515, 2817]",4369,4096,9473,99.95,,,,,,,,
"[17, 257, 4369, 4096, 10753, 4035, 1537]",4369,4096,10753,99.95,,,,,,,,
"[17, 257, 4369, 4096, 11777, 1475, 513]",4369,4096,11777,99.95,,,,,,,,
"[17, 257, 4369, 4096, 12289, 3, 1]",4369,4096,12289,99.95,,,,,,,,
"[17, 257, 4369, 4096, 13313, 9988, 3073]",4369,4096,13313,99.95,,,,,,,,
"[17, 257, 4369, 4096, 14081, 7924, 2305]",4369,4096,14081,99.95,,,,,,,,
"[17, 257, 4369, 4096, 14593, 6388, 1793]",4369,4096,14593,99.95,,,,,,,,
"[17, 257, 4369, 4096, 15361, 3844, 1025]",4369,4096,15361,99.95,,,,,,,,
"[17, 257, 4369, 4096, 17921, 11205, 2561]",4369,4096,17921,99.95,,,,,,,,
"[17, 257, 4369, 4096, 18433, 9221, 2049]",4369,4096,18433,99.95,,,,,,,,
"[17, 257, 4369, 4096, 19457, 4869, 1025]",4369,4096,19457,99.95,,,,,,,,
"[17, 257, 4369, 4096, 22273, 12534, 2305]",4369,4096,22273,99.95,,,,,,,,
"[17, 257, 4369, 4096, 23041, 8646, 1537]",4369,4096,23041,99.95,,,,,,,,
"[17, 257, 4369, 4096, 23297, 7286, 1281]",4369,4096,23297,99.95,,,,,,,,
"[17, 257, 4369, 4096, 25601, 19207, 3073]",4369,4096,25601,99.95,,,,,,,,
"[17, 257, 4369, 4096, 26113, 16327, 2561]",4369,4096,26113,99.95,,,,,,,,
"[17, 257, 4369, 4096, 26881, 11767, 1793]",4369,4096,26881,99.95,,,,,,,,
"[17, 257, 4369, 4096, 30977, 13560, 1793]",4369,4096,30977,99.95,,,,,,,,
"[17, 257, 4369, 4096, 31489, 9848, 1281]",4369,4096,31489,99.95,,,,,,,,
"[17, 257, 4369, 4096, 32257, 4040, 513]",4369,4096,32257,99.95,,,,,,,,
