"p, q, n, Phi, e, k, d",N,Totient,E,Transparency Percentage
"[5, 17, 85, 64, 3, 2, 43]",85,64,3,7.14
"[5, 17, 85, 64, 5, 1, 13]",85,64,5,26.19
"[5, 17, 85, 64, 7, 6, 55]",85,64,7,7.14
"[5, 17, 85, 64, 11, 6, 35]",85,64,11,7.14
"[5, 17, 85, 64, 13, 1, 5]",85,64,13,26.19
"[5, 17, 85, 64, 17, 13, 49]",85,64,17,97.62
"[5, 17, 85, 64, 19, 8, 27]",85,64,19,7.14
"[5, 17, 85, 64, 23, 14, 39]",85,64,23,7.14
"[5, 17, 85, 64, 29, 24, 53]",85,64,29,26.19
"[5, 17, 85, 64, 31, 15, 31]",85,64,31,7.14
"[5, 17, 85, 64, 37, 26, 45]",85,64,37,26.19
"[5, 17, 85, 64, 41, 16, 25]",85,64,41,50.0
"[5, 17, 85, 64, 43, 2, 3]",85,64,43,7.14
"[5, 17, 85, 64, 47, 11, 15]",85,64,47,7.14
"[5, 17, 85, 64, 53, 24, 29]",85,64,53,26.19
"[5, 17, 85, 64, 59, 47, 51]",85,64,59,7.14
"[5, 17, 85, 64, 61, 20, 21]",85,64,61,26.19
"[5, 17, 85, 64, 67, 45, 43]",85,64,67,7.14
"[5, 17, 85, 64, 71, 61, 55]",85,64,71,7.14
"[5, 17, 85, 64, 73, 65, 57]",85,64,73,50.0
"[5, 17, 85, 64, 79, 58, 47]",85,64,79,7.14
"[5, 17, 85, 64, 83, 35, 27]",85,64,83,7.14
"[5, 17, 85, 64, 89, 57, 41]",85,64,89,50.0
"[5, 17, 85, 64, 97, 50, 33]",85,64,97,97.62
"[5, 17, 85, 64, 101, 71, 45]",85,64,101,26.19
"[5, 17, 85, 64, 103, 37, 23]",85,64,103,7.14
"[5, 17, 85, 64, 107, 5, 3]",85,64,107,7.14
"[5, 17, 85, 64, 109, 63, 37]",85,64,109,26.19
"[5, 17, 85, 64, 113, 30, 17]",85,64,113,97.62
"[5, 17, 85, 64, 127, 125, 63]",85,64,127,7.14
"[5, 17, 85, 64, 131, 88, 43]",85,64,131,7.14
"[5, 17, 85, 64, 137, 122, 57]",85,64,137,50.0
"[5, 17, 85, 64, 139, 76, 35]",85,64,139,7.14
"[5, 17, 85, 64, 149, 142, 61]",85,64,149,26.19
"[5, 17, 85, 64, 151, 92, 39]",85,64,151,7.14
"[5, 17, 85, 64, 157, 130, 53]",85,64,157,26.19
"[5, 17, 85, 64, 163, 28, 11]",85,64,163,7.14
"[5, 17, 85, 64, 167, 60, 23]",85,64,167,7.14
"[5, 17, 85, 64, 173, 100, 37]",85,64,173,26.19
"[5, 17, 85, 64, 179, 165, 59]",85,64,179,7.14
"[5, 17, 85, 64, 181, 82, 29]",85,64,181,26.19
"[5, 17, 85, 64, 191, 188, 63]",85,64,191,7.14
"[5, 17, 85, 64, 193, 3, 1]",85,64,193,97.62
"[5, 17, 85, 64, 197, 40, 13]",85,64,197,26.19
"[5, 17, 85, 64, 199, 171, 55]",85,64,199,7.14
"[5, 17, 85, 64, 211, 89, 27]",85,64,211,7.14
"[5, 17, 85, 64, 223, 108, 31]",85,64,223,7.14
"[5, 17, 85, 64, 227, 39, 11]",85,64,227,7.14
"[5, 17, 85, 64, 229, 161, 45]",85,64,229,26.19
"[5, 17, 85, 64, 233, 91, 25]",85,64,233,50.0
"[5, 17, 85, 64, 239, 56, 15]",85,64,239,7.14
"[5, 17, 85, 64, 241, 64, 17]",85,64,241,97.62
"[5, 17, 85, 64, 251, 200, 51]",85,64,251,7.14
"[5, 17, 85, 64, 257, 4, 1]",85,64,257,97.62
"[5, 17, 85, 64, 263, 226, 55]",85,64,263,7.14
"[5, 17, 85, 64, 269, 21, 5]",85,64,269,26.19
"[5, 17, 85, 64, 271, 199, 47]",85,64,271,7.14
"[5, 17, 85, 64, 277, 264, 61]",85,64,277,26.19
"[5, 17, 85, 64, 281, 180, 41]",85,64,281,50.0
"[5, 17, 85, 64, 283, 84, 19]",85,64,283,7.14
"[5, 17, 85, 64, 293, 206, 45]",85,64,293,26.19
"[5, 17, 85, 64, 307, 283, 59]",85,64,307,7.14
"[5, 17, 85, 64, 311, 34, 7]",85,64,311,7.14
"[5, 17, 85, 64, 313, 44, 9]",85,64,313,50.0
"[5, 17, 85, 64, 317, 104, 21]",85,64,317,26.19
"[5, 17, 85, 64, 331, 181, 35]",85,64,331,7.14
"[5, 17, 85, 64, 337, 258, 49]",85,64,337,97.62
"[5, 17, 85, 64, 347, 103, 19]",85,64,347,7.14
"[5, 17, 85, 64, 349, 289, 53]",85,64,349,26.19
"[5, 17, 85, 64, 353, 182, 33]",85,64,353,97.62
"[5, 17, 85, 64, 359, 129, 23]",85,64,359,7.14
"[5, 17, 85, 64, 367, 86, 15]",85,64,367,7.14
"[5, 17, 85, 64, 373, 169, 29]",85,64,373,26.19
"[5, 17, 85, 64, 379, 302, 51]",85,64,379,7.14
"[5, 17, 85, 64, 383, 377, 63]",85,64,383,7.14
"[5, 17, 85, 64, 389, 79, 13]",85,64,389,26.19
"[5, 17, 85, 64, 397, 31, 5]",85,64,397,26.19
"[5, 17, 85, 64, 401, 307, 49]",85,64,401,97.62
"[5, 17, 85, 64, 409, 262, 41]",85,64,409,50.0
"[5, 17, 85, 64, 419, 72, 11]",85,64,419,7.14
"[5, 17, 85, 64, 421, 296, 45]",85,64,421,26.19
"[5, 17, 85, 64, 431, 101, 15]",85,64,431,7.14
"[5, 17, 85, 64, 433, 115, 17]",85,64,433,97.62
"[5, 17, 85, 64, 439, 48, 7]",85,64,439,7.14
"[5, 17, 85, 64, 443, 353, 51]",85,64,443,7.14
"[5, 17, 85, 64, 449, 7, 1]",85,64,449,97.62
"[5, 17, 85, 64, 457, 407, 57]",85,64,457,50.0
"[5, 17, 85, 64, 461, 36, 5]",85,64,461,26.19
"[5, 17, 85, 64, 463, 340, 47]",85,64,463,7.14
"[5, 17, 85, 64, 467, 197, 27]",85,64,467,7.14
"[5, 17, 85, 64, 479, 232, 31]",85,64,479,7.14
"[5, 17, 85, 64, 487, 175, 23]",85,64,487,7.14
"[5, 17, 85, 64, 491, 23, 3]",85,64,491,7.14
"[5, 17, 85, 64, 499, 460, 59]",85,64,499,7.14
"[5, 17, 85, 64, 503, 55, 7]",85,64,503,7.14
"[5, 17, 85, 64, 509, 167, 21]",85,64,509,26.19
"[5, 17, 85, 64, 521, 464, 57]",85,64,521,50.0
"[5, 17, 85, 64, 523, 286, 35]",85,64,523,7.14
"[5, 17, 85, 64, 541, 448, 53]",85,64,541,26.19
"[5, 17, 85, 64, 547, 94, 11]",85,64,547,7.14
"[5, 17, 85, 64, 557, 322, 37]",85,64,557,26.19
"[5, 17, 85, 64, 563, 519, 59]",85,64,563,7.14
"[5, 17, 85, 64, 569, 80, 9]",85,64,569,50.0
"[5, 17, 85, 64, 571, 455, 51]",85,64,571,7.14
"[5, 17, 85, 64, 577, 9, 1]",85,64,577,97.62
"[5, 17, 85, 64, 587, 321, 35]",85,64,587,7.14
"[5, 17, 85, 64, 593, 454, 49]",85,64,593,97.62
"[5, 17, 85, 64, 599, 365, 39]",85,64,599,7.14
"[5, 17, 85, 64, 601, 385, 41]",85,64,601,50.0
"[5, 17, 85, 64, 607, 294, 31]",85,64,607,7.14
"[5, 17, 85, 64, 613, 431, 45]",85,64,613,26.19
"[5, 17, 85, 64, 617, 241, 25]",85,64,617,50.0
"[5, 17, 85, 64, 619, 29, 3]",85,64,619,7.14
"[5, 17, 85, 64, 631, 69, 7]",85,64,631,7.14
"[5, 17, 85, 64, 641, 10, 1]",85,64,641,97.62
"[5, 17, 85, 64, 643, 432, 43]",85,64,643,7.14
"[5, 17, 85, 64, 647, 556, 55]",85,64,647,7.14
"[5, 17, 85, 64, 653, 51, 5]",85,64,653,26.19
"[5, 17, 85, 64, 659, 278, 27]",85,64,659,7.14
"[5, 17, 85, 64, 661, 630, 61]",85,64,661,26.19
"[5, 17, 85, 64, 673, 347, 33]",85,64,673,97.62
"[5, 17, 85, 64, 677, 476, 45]",85,64,677,26.19
"[5, 17, 85, 64, 683, 32, 3]",85,64,683,7.14
"[5, 17, 85, 64, 691, 637, 59]",85,64,691,7.14
"[5, 17, 85, 64, 701, 230, 21]",85,64,701,26.19
"[5, 17, 85, 64, 709, 144, 13]",85,64,709,26.19
"[5, 17, 85, 64, 719, 528, 47]",85,64,719,7.14
"[5, 17, 85, 64, 727, 443, 39]",85,64,727,7.14
"[5, 17, 85, 64, 733, 607, 53]",85,64,733,26.19
"[5, 17, 85, 64, 739, 127, 11]",85,64,739,7.14
"[5, 17, 85, 64, 743, 267, 23]",85,64,743,7.14
"[5, 17, 85, 64, 751, 176, 15]",85,64,751,7.14
"[5, 17, 85, 64, 757, 343, 29]",85,64,757,26.19
"[5, 17, 85, 64, 761, 107, 9]",85,64,761,50.0
"[5, 17, 85, 64, 769, 12, 1]",85,64,769,97.62
"[5, 17, 85, 64, 773, 157, 13]",85,64,773,26.19
"[5, 17, 85, 64, 787, 332, 27]",85,64,787,7.14
"[5, 17, 85, 64, 797, 660, 53]",85,64,797,26.19
"[5, 17, 85, 64, 809, 316, 25]",85,64,809,50.0
"[5, 17, 85, 64, 811, 38, 3]",85,64,811,7.14
"[5, 17, 85, 64, 821, 372, 29]",85,64,821,26.19
"[5, 17, 85, 64, 823, 90, 7]",85,64,823,7.14
"[5, 17, 85, 64, 827, 659, 51]",85,64,827,7.14
"[5, 17, 85, 64, 829, 272, 21]",85,64,829,26.19
"[5, 17, 85, 64, 839, 721, 55]",85,64,839,7.14
"[5, 17, 85, 64, 853, 813, 61]",85,64,853,26.19
"[5, 17, 85, 64, 857, 549, 41]",85,64,857,50.0
"[5, 17, 85, 64, 859, 255, 19]",85,64,859,7.14
"[5, 17, 85, 64, 863, 418, 31]",85,64,863,7.14
"[5, 17, 85, 64, 877, 507, 37]",85,64,877,26.19
"[5, 17, 85, 64, 881, 234, 17]",85,64,881,97.62
"[5, 17, 85, 64, 883, 814, 59]",85,64,883,7.14
"[5, 17, 85, 64, 887, 97, 7]",85,64,887,7.14
"[5, 17, 85, 64, 907, 496, 35]",85,64,907,7.14
"[5, 17, 85, 64, 911, 669, 47]",85,64,911,7.14
"[5, 17, 85, 64, 919, 560, 39]",85,64,919,7.14
"[5, 17, 85, 64, 929, 479, 33]",85,64,929,97.62
"[5, 17, 85, 64, 937, 366, 25]",85,64,937,50.0
"[5, 17, 85, 64, 941, 544, 37]",85,64,941,26.19
"[5, 17, 85, 64, 947, 873, 59]",85,64,947,7.14
"[5, 17, 85, 64, 953, 134, 9]",85,64,953,50.0
"[5, 17, 85, 64, 967, 831, 55]",85,64,967,7.14
"[5, 17, 85, 64, 971, 531, 35]",85,64,971,7.14
"[5, 17, 85, 64, 977, 748, 49]",85,64,977,97.62
"[5, 17, 85, 64, 983, 599, 39]",85,64,983,7.14
"[5, 17, 85, 64, 991, 480, 31]",85,64,991,7.14
"[5, 17, 85, 64, 997, 701, 45]",85,64,997,26.19
"[5, 17, 85, 64, 1009, 268, 17]",85,64,1009,97.62
"[5, 17, 85, 64, 1013, 459, 29]",85,64,1013,26.19
"[5, 17, 85, 64, 1019, 812, 51]",85,64,1019,7.14
"[5, 17, 85, 64, 1021, 335, 21]",85,64,1021,26.19
"[5, 17, 85, 64, 1031, 886, 55]",85,64,1031,7.14
"[5, 17, 85, 64, 1033, 920, 57]",85,64,1033,50.0
"[5, 17, 85, 64, 1039, 763, 47]",85,64,1039,7.14
"[5, 17, 85, 64, 1049, 672, 41]",85,64,1049,50.0
"[5, 17, 85, 64, 1051, 312, 19]",85,64,1051,7.14
"[5, 17, 85, 64, 1061, 746, 45]",85,64,1061,26.19
"[5, 17, 85, 64, 1063, 382, 23]",85,64,1063,7.14
"[5, 17, 85, 64, 1069, 618, 37]",85,64,1069,26.19
"[5, 17, 85, 64, 1087, 1070, 63]",85,64,1087,7.14
"[5, 17, 85, 64, 1091, 733, 43]",85,64,1091,7.14
"[5, 17, 85, 64, 1093, 222, 13]",85,64,1093,26.19
"[5, 17, 85, 64, 1097, 977, 57]",85,64,1097,50.0
"[5, 17, 85, 64, 1103, 810, 47]",85,64,1103,7.14
"[5, 17, 85, 64, 1109, 1057, 61]",85,64,1109,26.19
"[5, 17, 85, 64, 1117, 925, 53]",85,64,1117,26.19
"[5, 17, 85, 64, 1123, 193, 11]",85,64,1123,7.14
"[5, 17, 85, 64, 1129, 441, 25]",85,64,1129,50.0
"[5, 17, 85, 64, 1151, 1133, 63]",85,64,1151,7.14
"[5, 17, 85, 64, 1153, 18, 1]",85,64,1153,97.62
"[5, 17, 85, 64, 1163, 636, 35]",85,64,1163,7.14
"[5, 17, 85, 64, 1171, 494, 27]",85,64,1171,7.14
"[5, 17, 85, 64, 1181, 978, 53]",85,64,1181,26.19
"[5, 17, 85, 64, 1187, 204, 11]",85,64,1187,7.14
"[5, 17, 85, 64, 1193, 466, 25]",85,64,1193,50.0
"[5, 17, 85, 64, 1201, 319, 17]",85,64,1201,97.62
"[5, 17, 85, 64, 1213, 398, 21]",85,64,1213,26.19
"[5, 17, 85, 64, 1217, 19, 1]",85,64,1217,97.62
"[5, 17, 85, 64, 1223, 1051, 55]",85,64,1223,7.14
"[5, 17, 85, 64, 1229, 96, 5]",85,64,1229,26.19
