"p, q, n, Phi, e, k, d",N,Totient,E,Transparency Percentage
"[13, 193, 2509, 2304, 193, 177, 2113]",2509,2304,193,100
"[13, 193, 2509, 2304, 577, 433, 1729]",2509,2304,577,100
"[13, 193, 2509, 2304, 769, 513, 1537]",2509,2304,769,100
"[13, 193, 2509, 2304, 1153, 577, 1153]",2509,2304,1153,100
"[13, 193, 2509, 2304, 2113, 177, 193]",2509,2304,2113,100
"[13, 193, 2509, 2304, 2689, 2242, 1921]",2509,2304,2689,100
"[13, 193, 2509, 2304, 3457, 1730, 1153]",2509,2304,3457,100
"[13, 193, 2509, 2304, 4801, 4403, 2113]",2509,2304,4801,100
"[13, 193, 2509, 2304, 4993, 4163, 1921]",2509,2304,4993,100
"[13, 193, 2509, 2304, 5569, 3251, 1345]",2509,2304,5569,100
"[13, 193, 2509, 2304, 5953, 2483, 961]",2509,2304,5953,100
"[13, 193, 2509, 2304, 6337, 1587, 577]",2509,2304,6337,100
"[13, 193, 2509, 2304, 6529, 1091, 385]",2509,2304,6529,100
"[13, 193, 2509, 2304, 7297, 6084, 1921]",2509,2304,7297,100
"[13, 193, 2509, 2304, 7489, 5620, 1729]",2509,2304,7489,100
"[13, 193, 2509, 2304, 7681, 5124, 1537]",2509,2304,7681,100
"[13, 193, 2509, 2304, 7873, 4596, 1345]",2509,2304,7873,100
"[13, 193, 2509, 2304, 8641, 2164, 577]",2509,2304,8641,100
"[13, 193, 2509, 2304, 9601, 8005, 1921]",2509,2304,9601,100
"[13, 193, 2509, 2304, 10177, 5941, 1345]",2509,2304,10177,100
"[13, 193, 2509, 2304, 10369, 5189, 1153]",2509,2304,10369,100
"[13, 193, 2509, 2304, 10753, 3589, 769]",2509,2304,10753,100
"[13, 193, 2509, 2304, 11329, 949, 193]",2509,2304,11329,100
"[13, 193, 2509, 2304, 12097, 9078, 1729]",2509,2304,12097,100
"[13, 193, 2509, 2304, 12289, 8198, 1537]",2509,2304,12289,100
"[13, 193, 2509, 2304, 13249, 3318, 577]",2509,2304,13249,100
"[13, 193, 2509, 2304, 13441, 2246, 385]",2509,2304,13441,100
"[13, 193, 2509, 2304, 13633, 1142, 193]",2509,2304,13633,100
"[13, 193, 2509, 2304, 14401, 10807, 1729]",2509,2304,14401,100
"[13, 193, 2509, 2304, 14593, 9735, 1537]",2509,2304,14593,100
"[13, 193, 2509, 2304, 15361, 5127, 769]",2509,2304,15361,100
"[13, 193, 2509, 2304, 15937, 1335, 193]",2509,2304,15937,100
"[13, 193, 2509, 2304, 18049, 3016, 385]",2509,2304,18049,100
"[13, 193, 2509, 2304, 18433, 8, 1]",2509,2304,18433,100
"[13, 193, 2509, 2304, 19009, 14265, 1729]",2509,2304,19009,100
"[13, 193, 2509, 2304, 19777, 8249, 961]",2509,2304,19777,100
"[13, 193, 2509, 2304, 20161, 5049, 577]",2509,2304,20161,100
