"p, q, n, Phi, e, k, d",N,Totient,E,Transparency Percentage
"[5, 541, 2705, 2160, 541, 406, 1621]",2705,2160,541,100
"[5, 541, 2705, 2160, 1621, 406, 541]",2705,2160,1621,100
"[5, 541, 2705, 2160, 2161, 1, 1]",2705,2160,2161,100
"[5, 541, 2705, 2160, 4861, 3648, 1621]",2705,2160,4861,100
"[5, 541, 2705, 2160, 6481, 3, 1]",2705,2160,6481,100
"[5, 541, 2705, 2160, 7561, 3784, 1081]",2705,2160,7561,100
"[5, 541, 2705, 2160, 8101, 2029, 541]",2705,2160,8101,100
"[5, 541, 2705, 2160, 8641, 4, 1]",2705,2160,8641,100
"[5, 541, 2705, 2160, 9181, 6890, 1621]",2705,2160,9181,100
"[5, 541, 2705, 2160, 9721, 4865, 1081]",2705,2160,9721,100
"[5, 541, 2705, 2160, 12421, 3111, 541]",2705,2160,12421,100
"[5, 541, 2705, 2160, 15121, 7, 1]",2705,2160,15121,100
"[5, 541, 2705, 2160, 15661, 11753, 1621]",2705,2160,15661,100
"[5, 541, 2705, 2160, 16741, 4193, 541]",2705,2160,16741,100
"[5, 541, 2705, 2160, 19441, 9, 1]",2705,2160,19441,100
"[5, 541, 2705, 2160, 20521, 10270, 1081]",2705,2160,20521,100
"[5, 541, 2705, 2160, 21061, 5275, 541]",2705,2160,21061,100
"[5, 541, 2705, 2160, 21601, 10, 1]",2705,2160,21601,100
"[5, 541, 2705, 2160, 23761, 11, 1]",2705,2160,23761,100
"[5, 541, 2705, 2160, 24841, 12432, 1081]",2705,2160,24841,100
"[5, 541, 2705, 2160, 27541, 6898, 541]",2705,2160,27541,100
"[5, 541, 2705, 2160, 28081, 13, 1]",2705,2160,28081,100
"[5, 541, 2705, 2160, 28621, 21479, 1621]",2705,2160,28621,100
"[5, 541, 2705, 2160, 30241, 14, 1]",2705,2160,30241,100
"[5, 541, 2705, 2160, 30781, 23100, 1621]",2705,2160,30781,100
"[5, 541, 2705, 2160, 31321, 15675, 1081]",2705,2160,31321,100
"[5, 541, 2705, 2160, 32401, 15, 1]",2705,2160,32401,100
"[5, 541, 2705, 2160, 32941, 24721, 1621]",2705,2160,32941,100
"[5, 541, 2705, 2160, 36721, 17, 1]",2705,2160,36721,100
"[5, 541, 2705, 2160, 43201, 20, 1]",2705,2160,43201,100
"[5, 541, 2705, 2160, 44281, 22161, 1081]",2705,2160,44281,100
"[5, 541, 2705, 2160, 45361, 21, 1]",2705,2160,45361,100
"[5, 541, 2705, 2160, 46441, 23242, 1081]",2705,2160,46441,100
"[5, 541, 2705, 2160, 47521, 22, 1]",2705,2160,47521,100
"[5, 541, 2705, 2160, 49681, 23, 1]",2705,2160,49681,100
"[5, 541, 2705, 2160, 50221, 37689, 1621]",2705,2160,50221,100
"[5, 541, 2705, 2160, 54001, 25, 1]",2705,2160,54001,100
"[5, 541, 2705, 2160, 54541, 40931, 1621]",2705,2160,54541,100
"[5, 541, 2705, 2160, 55621, 13931, 541]",2705,2160,55621,100
"[5, 541, 2705, 2160, 56701, 42552, 1621]",2705,2160,56701,100
"[5, 541, 2705, 2160, 57241, 28647, 1081]",2705,2160,57241,100
"[5, 541, 2705, 2160, 57781, 14472, 541]",2705,2160,57781,100
"[5, 541, 2705, 2160, 58321, 27, 1]",2705,2160,58321,100
"[5, 541, 2705, 2160, 61561, 30809, 1081]",2705,2160,61561,100
"[5, 541, 2705, 2160, 181, 166, 1981]",2705,2160,181,33
"[5, 541, 2705, 2160, 1801, 301, 361]",2705,2160,1801,33
"[5, 541, 2705, 2160, 2341, 2147, 1981]",2705,2160,2341,33
"[5, 541, 2705, 2160, 2521, 2102, 1801]",2705,2160,2521,33
"[5, 541, 2705, 2160, 3061, 1787, 1261]",2705,2160,3061,33
"[5, 541, 2705, 2160, 5581, 2328, 901]",2705,2160,5581,33
"[5, 541, 2705, 2160, 6121, 1023, 361]",2705,2160,6121,33
"[5, 541, 2705, 2160, 6301, 528, 181]",2705,2160,6301,33
"[5, 541, 2705, 2160, 6661, 6109, 1981]",2705,2160,6661,33
"[5, 541, 2705, 2160, 6841, 5704, 1801]",2705,2160,6841,33
"[5, 541, 2705, 2160, 7741, 3229, 901]",2705,2160,7741,33
"[5, 541, 2705, 2160, 8461, 709, 181]",2705,2160,8461,33
"[5, 541, 2705, 2160, 8821, 8090, 1981]",2705,2160,8821,33
"[5, 541, 2705, 2160, 9001, 7505, 1801]",2705,2160,9001,33
"[5, 541, 2705, 2160, 9901, 4130, 901]",2705,2160,9901,33
"[5, 541, 2705, 2160, 11161, 9306, 1801]",2705,2160,11161,33
"[5, 541, 2705, 2160, 11701, 6831, 1261]",2705,2160,11701,33
"[5, 541, 2705, 2160, 12241, 4086, 721]",2705,2160,12241,33
"[5, 541, 2705, 2160, 12601, 2106, 361]",2705,2160,12601,33
"[5, 541, 2705, 2160, 12781, 1071, 181]",2705,2160,12781,33
"[5, 541, 2705, 2160, 13681, 9127, 1441]",2705,2160,13681,33
"[5, 541, 2705, 2160, 14221, 5932, 901]",2705,2160,14221,33
"[5, 541, 2705, 2160, 14401, 4807, 721]",2705,2160,14401,33
"[5, 541, 2705, 2160, 16381, 6833, 901]",2705,2160,16381,33
"[5, 541, 2705, 2160, 16561, 5528, 721]",2705,2160,16561,33
"[5, 541, 2705, 2160, 16921, 2828, 361]",2705,2160,16921,33
"[5, 541, 2705, 2160, 18181, 10614, 1261]",2705,2160,18181,33
"[5, 541, 2705, 2160, 18541, 7734, 901]",2705,2160,18541,33
