"p, q, n, Phi, e, k, d",N,Totient,E,Transparency Percentage
"[53, 89, 4717, 4576, 3433, 859, 1145]",4717,4576,3433,99.96
"[53, 89, 4717, 4576, 8009, 2004, 1145]",4717,4576,8009,99.96
"[53, 89, 4717, 4576, 13729, 3, 1]",4717,4576,13729,99.96
"[53, 89, 4717, 4576, 20593, 10301, 2289]",4717,4576,20593,99.96
"[53, 89, 4717, 4576, 21737, 5439, 1145]",4717,4576,21737,99.96
"[53, 89, 4717, 4576, 25169, 12590, 2289]",4717,4576,25169,99.96
"[53, 89, 4717, 4576, 27457, 6, 1]",4717,4576,27457,99.96
"[53, 89, 4717, 4576, 44617, 11164, 1145]",4717,4576,44617,99.96
"[53, 89, 4717, 4576, 48049, 24035, 2289]",4717,4576,48049,99.96
"[53, 89, 4717, 4576, 49193, 12309, 1145]",4717,4576,49193,99.96
"[53, 89, 4717, 4576, 51481, 38622, 3433]",4717,4576,51481,99.96
"[53, 89, 4717, 4576, 62921, 15744, 1145]",4717,4576,62921,99.96
"[53, 89, 4717, 4576, 2861, 2504, 4005]",4717,4576,2861,50.51
"[53, 89, 4717, 4576, 8581, 5365, 2861]",4717,4576,8581,50.51
"[53, 89, 4717, 4576, 20021, 2507, 573]",4717,4576,20021,50.51
"[53, 89, 4717, 4576, 25741, 22529, 4005]",4717,4576,25741,50.51
"[53, 89, 4717, 4576, 29173, 3653, 573]",4717,4576,29173,50.51
"[53, 89, 4717, 4576, 33749, 4226, 573]",4717,4576,33749,50.51
"[53, 89, 4717, 4576, 36037, 22531, 2861]",4717,4576,36037,50.51
"[53, 89, 4717, 4576, 37181, 13951, 1717]",4717,4576,37181,50.51
"[53, 89, 4717, 4576, 42901, 5372, 573]",4717,4576,42901,50.51
"[53, 89, 4717, 4576, 50909, 19102, 1717]",4717,4576,50909,50.51
"[53, 89, 4717, 4576, 53197, 46559, 4005]",4717,4576,53197,50.51
"[53, 89, 4717, 4576, 56629, 7091, 573]",4717,4576,56629,50.51
"[53, 89, 4717, 4576, 57773, 50564, 4005]",4717,4576,57773,50.51
"[53, 89, 4717, 4576, 63493, 39697, 2861]",4717,4576,63493,50.51
"[53, 89, 4717, 4576, 859, 376, 2003]",4717,4576,859,13.1
"[53, 89, 4717, 4576, 2003, 376, 859]",4717,4576,2003,13.1
"[53, 89, 4717, 4576, 3719, 1163, 1431]",4717,4576,3719,13.1
"[53, 89, 4717, 4576, 6007, 4882, 3719]",4717,4576,6007,13.1
"[53, 89, 4717, 4576, 7151, 4024, 2575]",4717,4576,7151,13.1
"[53, 89, 4717, 4576, 7723, 7242, 4291]",4717,4576,7723,13.1
"[53, 89, 4717, 4576, 8867, 6098, 3147]",4717,4576,8867,13.1
"[53, 89, 4717, 4576, 9439, 592, 287]",4717,4576,9439,13.1
"[53, 89, 4717, 4576, 15731, 2953, 859]",4717,4576,15731,13.1
"[53, 89, 4717, 4576, 19163, 8388, 2003]",4717,4576,19163,13.1
"[53, 89, 4717, 4576, 20879, 11749, 2575]",4717,4576,20879,13.1
"[53, 89, 4717, 4576, 23167, 1453, 287]",4717,4576,23167,13.1
"[53, 89, 4717, 4576, 27743, 1740, 287]",4717,4576,27743,13.1
"[53, 89, 4717, 4576, 34607, 19474, 2575]",4717,4576,34607,13.1
"[53, 89, 4717, 4576, 38039, 30915, 3719]",4717,4576,38039,13.1
"[53, 89, 4717, 4576, 38611, 7248, 859]",4717,4576,38611,13.1
"[53, 89, 4717, 4576, 42043, 18403, 2003]",4717,4576,42043,13.1
"[53, 89, 4717, 4576, 43759, 24624, 2575]",4717,4576,43759,13.1
"[53, 89, 4717, 4576, 46619, 20406, 2003]",4717,4576,46619,13.1
"[53, 89, 4717, 4576, 48907, 45861, 4291]",4717,4576,48907,13.1
"[53, 89, 4717, 4576, 50051, 34421, 3147]",4717,4576,50051,13.1
"[53, 89, 4717, 4576, 51767, 42072, 3719]",4717,4576,51767,13.1
"[53, 89, 4717, 4576, 57487, 32349, 2575]",4717,4576,57487,13.1
"[53, 89, 4717, 4576, 58631, 18335, 1431]",4717,4576,58631,13.1
"[53, 89, 4717, 4576, 60919, 49510, 3719]",4717,4576,60919,13.1
"[53, 89, 4717, 4576, 313, 121, 1769]",4717,4576,313,10.05
"[53, 89, 4717, 4576, 521, 83, 729]",4717,4576,521,10.05
"[53, 89, 4717, 4576, 937, 490, 2393]",4717,4576,937,10.05
"[53, 89, 4717, 4576, 1249, 568, 2081]",4717,4576,1249,10.05
"[53, 89, 4717, 4576, 1873, 1618, 3953]",4717,4576,1873,10.05
"[53, 89, 4717, 4576, 2081, 568, 1249]",4717,4576,2081,10.05
"[53, 89, 4717, 4576, 2393, 490, 937]",4717,4576,2393,10.05
"[53, 89, 4717, 4576, 3121, 710, 1041]",4717,4576,3121,10.05
"[53, 89, 4717, 4576, 3329, 606, 833]",4717,4576,3329,10.05
"[53, 89, 4717, 4576, 4057, 2306, 2601]",4717,4576,4057,10.05
"[53, 89, 4717, 4576, 4889, 1890, 1769]",4717,4576,4889,10.05
"[53, 89, 4717, 4576, 4993, 455, 417]",4717,4576,4993,10.05
"[53, 89, 4717, 4576, 6449, 5571, 3953]",4717,4576,6449,10.05
"[53, 89, 4717, 4576, 6553, 3129, 2185]",4717,4576,6553,10.05
"[53, 89, 4717, 4576, 6761, 2921, 1977]",4717,4576,6761,10.05
"[53, 89, 4717, 4576, 7177, 6363, 4057]",4717,4576,7177,10.05
"[53, 89, 4717, 4576, 7489, 6129, 3745]",4717,4576,7489,10.05
"[53, 89, 4717, 4576, 8737, 3179, 1665]",4717,4576,8737,10.05
"[53, 89, 4717, 4576, 9049, 8434, 4265]",4717,4576,9049,10.05
"[53, 89, 4717, 4576, 9257, 6524, 3225]",4717,4576,9257,10.05
"[53, 89, 4717, 4576, 10193, 6952, 3121]",4717,4576,10193,10.05
"[53, 89, 4717, 4576, 12377, 284, 105]",4717,4576,12377,10.05
"[53, 89, 4717, 4576, 12689, 12115, 4369]",4717,4576,12689,10.05
"[53, 89, 4717, 4576, 13001, 4435, 1561]",4717,4576,13001,10.05
"[53, 89, 4717, 4576, 13313, 4844, 1665]",4717,4576,13313,10.05
"[53, 89, 4717, 4576, 13417, 13115, 4473]",4717,4576,13417,10.05
"[53, 89, 4717, 4576, 14249, 2270, 729]",4717,4576,14249,10.05
"[53, 89, 4717, 4576, 14561, 10593, 3329]",4717,4576,14561,10.05
"[53, 89, 4717, 4576, 15289, 12860, 3849]",4717,4576,15289,10.05
"[53, 89, 4717, 4576, 15497, 1060, 313]",4717,4576,15497,10.05
"[53, 89, 4717, 4576, 15601, 13477, 3953]",4717,4576,15601,10.05
"[53, 89, 4717, 4576, 15809, 4315, 1249]",4717,4576,15809,10.05
"[53, 89, 4717, 4576, 15913, 6875, 1977]",4717,4576,15913,10.05
"[53, 89, 4717, 4576, 16433, 9714, 2705]",4717,4576,16433,10.05
"[53, 89, 4717, 4576, 17681, 7237, 1873]",4717,4576,17681,10.05
"[53, 89, 4717, 4576, 18097, 13988, 3537]",4717,4576,18097,10.05
"[53, 89, 4717, 4576, 18617, 7197, 1769]",4717,4576,18617,10.05
"[53, 89, 4717, 4576, 19553, 8892, 2081]",4717,4576,19553,10.05
"[53, 89, 4717, 4576, 20177, 17430, 3953]",4717,4576,20177,10.05
"[53, 89, 4717, 4576, 21529, 494, 105]",4717,4576,21529,10.05
"[53, 89, 4717, 4576, 21841, 20853, 4369]",4717,4576,21841,10.05
"[53, 89, 4717, 4576, 22153, 7557, 1561]",4717,4576,22153,10.05
"[53, 89, 4717, 4576, 22777, 21229, 4265]",4717,4576,22777,10.05
"[53, 89, 4717, 4576, 23297, 2123, 417]",4717,4576,23297,10.05
"[53, 89, 4717, 4576, 23609, 2688, 521]",4717,4576,23609,10.05
"[53, 89, 4717, 4576, 24337, 3324, 625]",4717,4576,24337,10.05
"[53, 89, 4717, 4576, 25793, 21109, 3745]",4717,4576,25793,10.05
"[53, 89, 4717, 4576, 26209, 4771, 833]",4717,4576,26209,10.05
"[53, 89, 4717, 4576, 26417, 25222, 4369]",4717,4576,26417,10.05
"[53, 89, 4717, 4576, 26729, 9118, 1561]",4717,4576,26729,10.05
"[53, 89, 4717, 4576, 26833, 10983, 1873]",4717,4576,26833,10.05
"[53, 89, 4717, 4576, 28081, 8941, 1457]",4717,4576,28081,10.05
"[53, 89, 4717, 4576, 28289, 20580, 3329]",4717,4576,28289,10.05
"[53, 89, 4717, 4576, 28393, 14848, 2393]",4717,4576,28393,10.05
"[53, 89, 4717, 4576, 29017, 24407, 3849]",4717,4576,29017,10.05
"[53, 89, 4717, 4576, 29537, 8062, 1249]",4717,4576,29537,10.05
"[53, 89, 4717, 4576, 29641, 12806, 1977]",4717,4576,29641,10.05
"[53, 89, 4717, 4576, 30161, 17829, 2705]",4717,4576,30161,10.05
"[53, 89, 4717, 4576, 30577, 6956, 1041]",4717,4576,30577,10.05
"[53, 89, 4717, 4576, 31513, 17912, 2601]",4717,4576,31513,10.05
"[53, 89, 4717, 4576, 31721, 31007, 4473]",4717,4576,31721,10.05
"[53, 89, 4717, 4576, 32969, 17241, 2393]",4717,4576,32969,10.05
"[53, 89, 4717, 4576, 33073, 22557, 3121]",4717,4576,33073,10.05
"[53, 89, 4717, 4576, 34217, 14783, 1977]",4717,4576,34217,10.05
"[53, 89, 4717, 4576, 34841, 22971, 3017]",4717,4576,34841,10.05
"[53, 89, 4717, 4576, 35153, 7997, 1041]",4717,4576,35153,10.05
"[53, 89, 4717, 4576, 35257, 809, 105]",4717,4576,35257,10.05
"[53, 89, 4717, 4576, 35569, 33960, 4369]",4717,4576,35569,10.05
"[53, 89, 4717, 4576, 36713, 25874, 3225]",4717,4576,36713,10.05
"[53, 89, 4717, 4576, 37337, 4251, 521]",4717,4576,37337,10.05
"[53, 89, 4717, 4576, 37441, 27238, 3329]",4717,4576,37441,10.05
"[53, 89, 4717, 4576, 37649, 25678, 3121]",4717,4576,37649,10.05
"[53, 89, 4717, 4576, 38273, 34802, 4161]",4717,4576,38273,10.05
"[53, 89, 4717, 4576, 38377, 2625, 313]",4717,4576,38377,10.05
"[53, 89, 4717, 4576, 39209, 34762, 4057]",4717,4576,39209,10.05
"[53, 89, 4717, 4576, 39313, 23239, 2705]",4717,4576,39313,10.05
"[53, 89, 4717, 4576, 39521, 32344, 3745]",4717,4576,39521,10.05
"[53, 89, 4717, 4576, 39937, 7270, 833]",4717,4576,39937,10.05
"[53, 89, 4717, 4576, 41081, 38289, 4265]",4717,4576,41081,10.05
"[53, 89, 4717, 4576, 41809, 13312, 1457]",4717,4576,41809,10.05
"[53, 89, 4717, 4576, 42017, 30567, 3329]",4717,4576,42017,10.05
"[53, 89, 4717, 4576, 42433, 19297, 2081]",4717,4576,42433,10.05
"[53, 89, 4717, 4576, 42641, 5824, 625]",4717,4576,42641,10.05
"[53, 89, 4717, 4576, 42953, 2938, 313]",4717,4576,42953,10.05
"[53, 89, 4717, 4576, 43577, 8923, 937]",4717,4576,43577,10.05
"[53, 89, 4717, 4576, 43889, 25944, 2705]",4717,4576,43889,10.05
"[53, 89, 4717, 4576, 44201, 27133, 2809]",4717,4576,44201,10.05
"[53, 89, 4717, 4576, 45137, 18475, 1873]",4717,4576,45137,10.05
"[53, 89, 4717, 4576, 45553, 35210, 3537]",4717,4576,45553,10.05
"[53, 89, 4717, 4576, 46073, 17811, 1769]",4717,4576,46073,10.05
"[53, 89, 4717, 4576, 46489, 5293, 521]",4717,4576,46489,10.05
"[53, 89, 4717, 4576, 47737, 22794, 2185]",4717,4576,47737,10.05
"[53, 89, 4717, 4576, 48673, 39834, 3745]",4717,4576,48673,10.05
"[53, 89, 4717, 4576, 49297, 47067, 4369]",4717,4576,49297,10.05
"[53, 89, 4717, 4576, 49921, 18164, 1665]",4717,4576,49921,10.05
"[53, 89, 4717, 4576, 50129, 38747, 3537]",4717,4576,50129,10.05
"[53, 89, 4717, 4576, 50441, 35549, 3225]",4717,4576,50441,10.05
"[53, 89, 4717, 4576, 50753, 4625, 417]",4717,4576,50753,10.05
"[53, 89, 4717, 4576, 50857, 8102, 729]",4717,4576,50857,10.05
"[53, 89, 4717, 4576, 51169, 37225, 3329]",4717,4576,51169,10.05
"[53, 89, 4717, 4576, 52313, 24979, 2185]",4717,4576,52313,10.05
"[53, 89, 4717, 4576, 52937, 46933, 4057]",4717,4576,52937,10.05
"[53, 89, 4717, 4576, 53353, 32751, 2809]",4717,4576,53353,10.05
"[53, 89, 4717, 4576, 54497, 19829, 1665]",4717,4576,54497,10.05
"[53, 89, 4717, 4576, 54601, 53372, 4473]",4717,4576,54601,10.05
"[53, 89, 4717, 4576, 55849, 29206, 2393]",4717,4576,55849,10.05
"[53, 89, 4717, 4576, 56369, 7699, 625]",4717,4576,56369,10.05
"[53, 89, 4717, 4576, 56473, 47501, 3849]",4717,4576,56473,10.05
"[53, 89, 4717, 4576, 56681, 3877, 313]",4717,4576,56681,10.05
"[53, 89, 4717, 4576, 56993, 15556, 1249]",4717,4576,56993,10.05
"[53, 89, 4717, 4576, 57097, 24668, 1977]",4717,4576,57097,10.05
"[53, 89, 4717, 4576, 58657, 37340, 2913]",4717,4576,58657,10.05
"[53, 89, 4717, 4576, 59281, 45821, 3537]",4717,4576,59281,10.05
"[53, 89, 4717, 4576, 60217, 6856, 521]",4717,4576,60217,10.05
"[53, 89, 4717, 4576, 60737, 27621, 2081]",4717,4576,60737,10.05
"[53, 89, 4717, 4576, 61153, 55607, 4161]",4717,4576,61153,10.05
"[53, 89, 4717, 4576, 61673, 26645, 1977]",4717,4576,61673,10.05
"[53, 89, 4717, 4576, 62297, 41073, 3017]",4717,4576,62297,10.05
"[53, 89, 4717, 4576, 62401, 51069, 3745]",4717,4576,62401,10.05
"[53, 89, 4717, 4576, 63337, 21606, 1561]",4717,4576,63337,10.05
"[53, 89, 4717, 4576, 63649, 23159, 1665]",4717,4576,63649,10.05
"[53, 89, 4717, 4576, 63857, 49358, 3537]",4717,4576,63857,10.05
"[53, 89, 4717, 4576, 64793, 7377, 521]",4717,4576,64793,10.05
"[53, 89, 4717, 4576, 65521, 8949, 625]",4717,4576,65521,10.05
"[53, 89, 4717, 4576, 89, 12, 617]",4717,4576,89,9.37
"[53, 89, 4717, 4576, 353, 163, 2113]",4717,4576,353,9.37
"[53, 89, 4717, 4576, 617, 12, 89]",4717,4576,617,9.37
"[53, 89, 4717, 4576, 881, 644, 3345]",4717,4576,881,9.37
"[53, 89, 4717, 4576, 1321, 737, 2553]",4717,4576,1321,9.37
"[53, 89, 4717, 4576, 1409, 759, 2465]",4717,4576,1409,9.37
"[53, 89, 4717, 4576, 2113, 163, 353]",4717,4576,2113,9.37
"[53, 89, 4717, 4576, 2377, 1509, 2905]",4717,4576,2377,9.37
"[53, 89, 4717, 4576, 2729, 263, 441]",4717,4576,2729,9.37
"[53, 89, 4717, 4576, 3169, 732, 1057]",4717,4576,3169,9.37
"[53, 89, 4717, 4576, 3257, 2694, 3785]",4717,4576,3257,9.37
"[53, 89, 4717, 4576, 3697, 143, 177]",4717,4576,3697,9.37
"[53, 89, 4717, 4576, 4049, 1091, 1233]",4717,4576,4049,9.37
"[53, 89, 4717, 4576, 5281, 3251, 2817]",4717,4576,5281,9.37
"[53, 89, 4717, 4576, 5897, 3290, 2553]",4717,4576,5897,9.37
"[53, 89, 4717, 4576, 6073, 1286, 969]",4717,4576,6073,9.37
"[53, 89, 4717, 4576, 6337, 4876, 3521]",4717,4576,6337,9.37
"[53, 89, 4717, 4576, 6689, 516, 353]",4717,4576,6689,9.37
"[53, 89, 4717, 4576, 7129, 2058, 1321]",4717,4576,7129,9.37
"[53, 89, 4717, 4576, 7393, 1139, 705]",4717,4576,7393,9.37
"[53, 89, 4717, 4576, 7481, 3886, 2377]",4717,4576,7481,9.37
"[53, 89, 4717, 4576, 8273, 320, 177]",4717,4576,8273,9.37
"[53, 89, 4717, 4576, 8537, 7718, 4137]",4717,4576,8537,9.37
"[53, 89, 4717, 4576, 8713, 7542, 3961]",4717,4576,8713,9.37
"[53, 89, 4717, 4576, 9241, 1246, 617]",4717,4576,9241,9.37
"[53, 89, 4717, 4576, 9769, 190, 89]",4717,4576,9769,9.37
"[53, 89, 4717, 4576, 9857, 6068, 2817]",4717,4576,9857,9.37
"[53, 89, 4717, 4576, 11177, 5376, 2201]",4717,4576,11177,9.37
"[53, 89, 4717, 4576, 11353, 5024, 2025]",4717,4576,11353,9.37
"[53, 89, 4717, 4576, 11617, 3577, 1409]",4717,4576,11617,9.37
"[53, 89, 4717, 4576, 11969, 1844, 705]",4717,4576,11969,9.37
"[53, 89, 4717, 4576, 12409, 10264, 3785]",4717,4576,12409,9.37
"[53, 89, 4717, 4576, 12497, 2406, 881]",4717,4576,12497,9.37
"[53, 89, 4717, 4576, 13553, 7822, 2641]",4717,4576,13553,9.37
"[53, 89, 4717, 4576, 14081, 6502, 2113]",4717,4576,14081,9.37
"[53, 89, 4717, 4576, 15137, 8154, 2465]",4717,4576,15137,9.37
"[53, 89, 4717, 4576, 15313, 5304, 1585]",4717,4576,15313,9.37
"[53, 89, 4717, 4576, 15401, 6223, 1849]",4717,4576,15401,9.37
"[53, 89, 4717, 4576, 16193, 4986, 1409]",4717,4576,16193,9.37
"[53, 89, 4717, 4576, 16369, 15743, 4401]",4717,4576,16369,9.37
"[53, 89, 4717, 4576, 16633, 8640, 2377]",4717,4576,16633,9.37
"[53, 89, 4717, 4576, 18041, 17698, 4489]",4717,4576,18041,9.37
"[53, 89, 4717, 4576, 18217, 17170, 4313]",4717,4576,18217,9.37
"[53, 89, 4717, 4576, 18481, 14931, 3697]",4717,4576,18481,9.37
"[53, 89, 4717, 4576, 19009, 11702, 2817]",4717,4576,19009,9.37
"[53, 89, 4717, 4576, 19273, 6305, 1497]",4717,4576,19273,9.37
"[53, 89, 4717, 4576, 19801, 4193, 969]",4717,4576,19801,9.37
"[53, 89, 4717, 4576, 19889, 6889, 1585]",4717,4576,19889,9.37
"[53, 89, 4717, 4576, 20681, 13129, 2905]",4717,4576,20681,9.37
